# food data from Michael Clark et al (2022). Estimating the environmental impacts of 57,000 food products. PNAS. 
Entity,Category,Emissions,Water Use,Land Use,Eutrophication
Ale,Category,0.49,49.4,0.81,1.63
Almond butter,Category,0.39,6846.47,7.68,18.72
Almond milk,Category,0.66,1246.97,1.37,4.15
Almonds,Category,0.6,6413.31,8.23,18.6
Apple juice,Category,0.46,122.32,0.66,1.91
Apple pie,Category,1.24,396.39,1.77,6.62
Apples,Category,0.51,90.33,0.67,1.21
Apricot jam,Category,1.38,851.05,1.37,11.45
Asparagus,Category,0.93,310.51,1.4,4
Avocados,Category,0.92,367.41,1.25,2.67
Bacon,Category,19.31,1649.71,42.33,87.75
Bagels,Category,0.8,291.35,2.26,6.05
Baguette,Category,1,345.31,2.2,8.17
Banana loaf,Category,1.87,444.23,3.27,9.28
Bananas,Category,0.87,52.05,2.64,3.46
Beans,Category,1.37,0.08,17.07,10.77
Beef burger,Category,53.98,3492.08,135.35,553.38
Beef curry,Category,17.37,1800.9,35.4,252.92
Beef meatballs,Category,70.79,2227.99,215,355.43
Beef mince,Category,95.03,2493.95,295.25,428.69
Beef noodles,Category,2.29,363.2,4.08,14.95
Beef steak,Category,129.75,1954.35,427.33,360.73
Beer,Category,0.69,122.42,0.83,2.82
Beetroot,Category,2.66,11.21,4.09,8.86
Biscuits,Category,3.99,481.18,7.88,14.22
Blue cheese,Category,20.11,1895.35,23.89,67.5
Brazil nuts,Category,2.51,3270.8,12.81,19.62
Bread,Category,0.88,241.91,2.24,6.02
Breakfast cereal,Category,1.49,502.1,2.9,9.51
Brie,Category,19.14,1765.55,22.45,64.27
Broccoli,Category,0.9,224.9,1,5.1
Butter,Category,3.32,271.56,3.62,10.51
Cabbage,Category,0.89,131.31,0.8,6.2
Caesar salad,Category,2.08,305.77,2.75,7.3
Camembert,Category,16.28,1529.72,19.04,55.36
Carrot cake,Category,2.01,516.99,2.78,9.99
Carrots,Category,0.94,14.93,1.6,5.89
Cashew nuts,Category,2.09,3504.34,11.72,19.29
Cauliflower,Category,0.89,136.94,0.79,5.94
Cereal bars,Category,2.85,843.37,5.56,13.81
Cheddar cheese,Category,20.75,1939.91,24.45,70.27
Cheesecake,Category,2.37,460.78,2.59,10.02
Cherry tomatoes,Category,2.27,318.57,0.93,6.08
Chia seeds,Category,1.22,210.9,3.43,5.99
Chicken breast,Category,9.27,563.92,9.22,37.36
Chicken burger,Category,5.43,379.13,6.05,22.53
Chicken curry,Category,3.62,436.19,3.98,17.29
Chicken noodles,Category,2.38,413.23,3.31,11.32
Chicken pasta,Category,2.95,310,3.58,12.37
Chicken sausages,Category,8.16,483.11,8.33,34.35
Chicken thighs,Category,9.98,577.23,9.85,39.87
Chicken wings,Category,9.58,631.83,9.51,39.02
Chickpeas,Category,1.34,161.39,15.57,9.68
Chilli con carne,Category,13.54,1255.1,28.3,189.03
Chocolate biscuits,Category,5.08,524.26,13.57,16.13
Chocolate cake,Category,3.95,523.02,10.33,13.71
Chocolate cereals,Category,2.88,899.72,7.38,13.32
Chocolate cheesecake,Category,4.9,483.74,6.51,14.95
Chocolate spread,Category,5.37,1215.29,9.38,22.96
Cider,Category,1.08,242.71,0.91,3.19
Coconut milk,Category,3.32,217.23,0.55,2.12
Coconut oil,Category,0.53,345.99,0.73,6.51
Cod,Category,10.9,3177.81,5.27,52.7
Cod fish fingers,Category,9.31,2659.1,5.42,45.62
Cod fishcakes,Category,7.82,2213.4,3.81,37.39
Coffee beans,Category,16.82,16.21,19.39,65.44
Coffee pods,Category,20.3,199.55,13.77,76.79
Cookies,Category,3.36,765.91,7.18,14.74
Cottage cheese,Category,25.28,2418.44,29.92,85.79
Cottage pie,Category,11.85,1100.15,24.56,173.7
Courgettes,Category,0.85,322.96,1.27,2.94
Couscous,Category,1.16,333.85,2.95,6.15
Cow's milk,Category,3.7,309.77,4.07,11.47
Cracker biscuits,Category,2.45,787.92,4.46,14
Crisps,Category,3.03,420.95,7.53,32.29
Croissants,Category,1.68,366.34,3.67,9.59
Cucumber,Category,0.85,318.78,1.08,2.51
Dairy-free cheese,Category,1.98,1416.95,4.21,11.73
Dairy-free ice cream,Category,2.45,407.9,3.49,8.9
Dark chocolate,Category,20.62,301.49,48.79,41.64
Doughnuts,Category,2.2,252.76,3.04,7.44
Egg noodles,Category,1.38,273.12,3,8.33
Eggs,Category,4.44,830.03,6.82,19.98
Falafels,Category,1.1,81.75,6.57,12.31
Feta cheese,Category,14.84,1366.76,17.47,50.19
Flapjack,Category,1.95,473.42,3.99,11.8
Frozen chips (french fries),Category,0.75,49.59,2.11,9.52
Frozen jacket potatoes,Category,0.52,15.16,1.1,4.57
Frozen mashed potato,Category,0.83,45.35,1.25,4.92
Frozen onion rings,Category,0.77,88,2.1,8.2
Frozen potato wedges,Category,0.66,34.66,1.69,7.28
Frozen roast potatoes,Category,1.2,100.72,2.44,13.33
Frozen sweet potato fries,Category,0.41,110.32,1.97,6.74
Fruit cake,Category,3.45,551.02,2.2,9.6
Fruit smoothies,Category,1.65,172.43,1.29,3.67
Garden peas,Category,1,346.79,6.61,12.43
Goat's cheese,Category,19.31,1782.23,22.62,65.87
Granola,Category,1.78,499.28,5.14,15.09
Grapes,Category,8.28,46.55,1.54,4.93
Haddock risotto,Category,4.9,1172.1,3.74,21.31
Halloumi cheese,Category,16.17,1534.22,19.1,54.06
Ice cream,Category,3.66,463.34,5.29,12.55
Ice lollies,Category,1.31,653.09,1.94,8.1
Instant coffee,Category,28.78,43.08,18.37,109.2
Kale,Category,0.9,133.35,0.81,6.33
Kiwis,Category,1.61,726.69,1.07,13.2
Lamb (leg),Category,30.74,88.01,43.42,23.41
Lamb Hotpot,Category,11.23,94.12,15.96,10.64
Lamb burgers,Category,26.93,106.45,38.1,21.03
Lamb casserole,Category,30.88,86.27,43.66,23.5
Lamb chops,Category,30.9,86.27,43.66,23.5
Lamb curry,Category,10.19,151.82,16.24,13.05
Lamb moussaka,Category,7.26,286.82,9.83,12.5
Lasagne sheets,Category,1.96,834.88,3.55,12.75
Lemons,Category,0.47,123.26,0.61,1.62
Lentils,Category,2.54,14.31,27.47,27.73
Lettuce,Category,4.93,294.99,6.78,5.12
Limes,Category,0.46,121.7,0.63,1.62
Macaroni cheese,Category,16.85,1668.21,20.69,57.79
Mackerel,Category,13.61,3961.72,5.8,63.75
Marmalade,Category,1.55,917.87,1.73,13.65
Meat pizza,Category,7.4,883.37,8.36,33.68
Meat-free burger,Category,1.02,211.81,3.8,9.04
Meat-free mince,Category,0.88,107.63,5.8,9.01
Meat-free nuggets,Category,0.86,251.34,1.96,4.04
Meat-free sausages,Category,0.96,173.41,3.72,7.42
Melon,Category,1.06,619.19,0.99,11.07
Milk chocolate,Category,10.8,551.85,17.27,26.79
Mixed salad,Category,0.92,343.09,1.16,2.44
Mozzarella cheese,Category,16.23,1507.35,19.06,55.03
Muesli,Category,2.27,343.18,3.95,10.51
Muffins,Category,2.58,412.93,3.08,9.16
Mushrooms,Category,2.35,1459.08,2.87,13.4
Naan,Category,1.01,282.9,2.29,5.37
Nut loaf,Category,0.72,885.1,2,5.72
Oat milk,Category,0.45,14.49,0.53,1.43
Olive oil,Category,5.18,1411.24,21.71,34.26
Onions,Category,0.36,53.86,0.4,1.54
Orange juice,Category,0.49,142.69,0.71,2.18
Oranges,Category,0.47,115.54,0.67,1.6
Pain au chocolat,Category,2.81,307.21,4.83,9.58
Pancakes,Category,1.55,340.56,2.44,7.83
Parmesan cheese,Category,24.02,2253.21,28.25,80.51
Parsnips,Category,0.99,12.65,1.81,6.2
Pasta shells,Category,1.03,333.57,3.5,6.04
Peanut butter,Category,3.43,2618.92,8.69,14.59
Peanuts,Category,3.15,2169.65,8.31,16.73
Pears,Category,0.93,783.35,1.01,13.83
Pecan nuts,Category,2.52,3046.98,11.73,19.34
Penne pasta,Category,1.63,614.16,3.74,11.14
Peppers,Category,0.92,362.93,1.24,2.67
Pineapple,Category,0.93,793.04,1.02,14
Pitta bread,Category,0.56,134.4,1.8,4.08
Popcorn,Category,1.81,316.85,3.18,8.92
Poppadoms,Category,1.5,293.58,4.96,22.67
Pork chops,Category,12.16,1642.01,17.31,76
Pork loin,Category,11.98,1611.19,16.46,75.59
Pork sausage rolls,Category,6.19,783.43,7.93,34.12
Pork sausages,Category,9.77,1292.22,13.56,60.9
Porridge (oatmeal),Category,1.56,232.57,4.99,10.48
Potato croquettes,Category,0.77,71.92,1.41,4.63
Potatoes,Category,0.21,80.81,0.8,1.44
Prawn crackers,Category,4.93,815.87,5.47,53.66
Prawns,Category,20.91,3197.15,1.02,154.77
Protein bar,Category,3.37,1423.92,11.13,12.17
Protein shake,Category,1.74,322.9,5.64,7.09
Pumpkin seeds,Category,1.32,212.61,3.34,5.71
Quiche,Category,4.67,455.86,5.59,18.21
Quinoa,Category,1.14,210.35,3.23,5.67
Rapeseed oil,Category,3.29,88.67,7.21,15.36
Raspberries,Category,8.37,45.71,1.54,4.96
Raspberry jam,Category,5.11,786.81,1.96,14.23
Rice,Category,3.93,2114.44,2.94,26.45
Rice milk,Category,1.44,474.15,0.52,5.67
Rice noodles,Category,3.41,1869.56,2.49,22.4
Ricotta cheese,Category,16.29,1549.24,18.97,55.21
Salmon,Category,10.41,1360.68,4.75,57.76
Salmon fishcakes,Category,6.51,1074.93,3.36,35.14
Sausage rolls,Category,5.85,779.44,7.84,33.49
Shepherd's pie,Category,7.74,74.28,11.05,8.49
Shortbread biscuits,Category,2.22,514.05,3.07,11.52
Sourdough bread,Category,0.85,248.65,2.37,5.42
Soy desert,Category,1.09,289.26,1.98,6.15
Soy milk,Category,0.89,50.48,0.87,2.75
Soy yoghurt,Category,0.5,196.37,1.02,3.6
Spaghetti,Category,1.65,500.99,3.81,11.1
Spaghetti bolognese,Category,7.83,844.76,15.16,96.66
Spinach,Category,1.01,269.96,0.99,2.57
Sponge cake,Category,1.88,487.89,2.4,9.04
Steak pie,Category,7.1,727.74,14.1,91.04
Strawberries,Category,3.24,349.2,3.45,3.83
Strawberry jam,Category,2.6,949.7,2.97,13.65
Sugar,Category,1.85,1202.39,2.15,17.23
Sunflower oil,Category,3.66,23.19,19.46,88.06
Sunflower seeds,Category,1.93,14.26,10.98,49.43
Sweetcorn,Category,0.97,157.24,2.08,4.07
Tea,Category,17.62,62.44,23.66,66.71
Tofu,Category,1.02,31.18,3.03,5.55
Tomato ketchup,Category,2.61,494.95,1.67,10.31
Tomatoes,Category,2.27,291.67,0.89,6.02
Tortilla wraps,Category,0.95,231.84,2.26,5
Tuna,Category,13.08,3771.4,5.52,61.55
Vegan pizza,Category,1.95,293.89,2.05,9.8
Vegetable lasagne,Category,3.38,382.99,4.15,11.85
Vegetarian chilli con carne,Category,1.43,152.48,3.47,6.72
Vegetarian curry,Category,1.31,374.8,2.28,7.35
Vegetarian pizza,Category,5.23,579.25,6.52,20.05
Walnuts,Category,2.42,3458.07,11.88,18.74
Watermelon,Category,0.97,743.31,1.01,13.12
Wine,Category,1.72,93.54,4.33,4.64
Yoghurt,Category,3.11,311.75,3.21,9.96